Date,DEXUSEU
8/17/2020,1.1869
8/18/2020,1.1928
8/19/2020,1.1898
8/20/2020,1.1862
8/21/2020,1.1775
8/24/2020,1.1803
8/25/2020,1.1818
8/26/2020,1.1813
8/27/2020,1.1824
8/28/2020,1.1901
8/31/2020,1.195
9/1/2020,1.1949
9/2/2020,1.184
9/3/2020,1.1832
9/4/2020,1.182
9/7/2020,1.182
9/8/2020,1.1789
9/9/2020,1.181
9/10/2020,1.188
9/11/2020,1.1831
9/14/2020,1.1874
9/15/2020,1.1846
9/16/2020,1.1835
9/17/2020,1.1823
9/18/2020,1.1857
9/21/2020,1.1737
9/22/2020,1.1703
9/23/2020,1.1677
9/24/2020,1.1666
9/25/2020,1.1618
9/28/2020,1.166
9/29/2020,1.1717
9/30/2020,1.1723
10/1/2020,1.1752
10/2/2020,1.1706
10/5/2020,1.1784
10/6/2020,1.1778
10/7/2020,1.1766
10/8/2020,1.1753
10/9/2020,1.1819
10/12/2020,1.1819
10/13/2020,1.1737
10/14/2020,1.1755
10/15/2020,1.1701
10/16/2020,1.1717
10/19/2020,1.1788
10/20/2020,1.1824
10/21/2020,1.187
10/22/2020,1.1824
10/23/2020,1.1844
10/26/2020,1.1816
10/27/2020,1.1834
10/28/2020,1.1751
10/29/2020,1.1658
10/30/2020,1.1647
11/2/2020,1.1634
11/3/2020,1.1724
11/4/2020,1.173
11/5/2020,1.1809
11/6/2020,1.1886
11/9/2020,1.1811
11/10/2020,1.181
11/11/2020,1.181
11/12/2020,1.1814
11/13/2020,1.1824
11/16/2020,1.1844
11/17/2020,1.1862
11/18/2020,1.1869
11/19/2020,1.1843
11/20/2020,1.1857
11/23/2020,1.1826
11/24/2020,1.1874
11/25/2020,1.1908
11/26/2020,1.1908
11/27/2020,1.1948
11/30/2020,1.1948
12/1/2020,1.2039
12/2/2020,1.2093
12/3/2020,1.2152
12/4/2020,1.2142
12/7/2020,1.2138
12/8/2020,1.2111
12/9/2020,1.208
12/10/2020,1.2118
12/11/2020,1.2112
12/14/2020,1.2145
12/15/2020,1.2158
12/16/2020,1.2175
12/17/2020,1.2258
12/18/2020,1.2236
12/21/2020,1.223
12/22/2020,1.2172
12/23/2020,1.2194
12/24/2020,1.2194
12/25/2020,1.2213
12/28/2020,1.2213
12/29/2020,1.2252
12/30/2020,1.228
12/31/2020,1.223
1/1/2021,1.223
1/4/2021,1.2254
1/5/2021,1.2295
1/6/2021,1.229
1/7/2021,1.2265
1/8/2021,1.2252
1/11/2021,1.2169
1/12/2021,1.2168
1/13/2021,1.2159
1/14/2021,1.2156
1/15/2021,1.2099
1/18/2021,1.2099
1/19/2021,1.2126
1/20/2021,1.2143
1/21/2021,1.2143
1/22/2021,1.2179
1/25/2021,1.2138
1/26/2021,1.2147
1/27/2021,1.2101
1/28/2021,1.2122
1/29/2021,1.2135
2/1/2021,1.207
2/2/2021,1.202
2/3/2021,1.2025
2/4/2021,1.1974
2/5/2021,1.2035
2/8/2021,1.2045
2/9/2021,1.2106
2/10/2021,1.2132
2/11/2021,1.2127
2/12/2021,1.2126
2/15/2021,1.2126
2/16/2021,1.2107
2/17/2021,1.2042
2/18/2021,1.2078
2/19/2021,1.2136
2/22/2021,1.2155
2/23/2021,1.2142
2/24/2021,1.2143
2/25/2021,1.2229
2/26/2021,1.2093
3/1/2021,1.2054
3/2/2021,1.2079
3/3/2021,1.2073
3/4/2021,1.2045
3/5/2021,1.1914
3/8/2021,1.1849
3/9/2021,1.1885
3/10/2021,1.19
3/11/2021,1.1978
3/12/2021,1.1952
3/15/2021,1.1917
3/16/2021,1.1895
3/17/2021,1.1905
3/18/2021,1.1926
3/19/2021,1.1909
3/22/2021,1.1932
3/23/2021,1.1872
3/24/2021,1.1831
3/25/2021,1.1777
3/26/2021,1.1798
3/29/2021,1.1779
3/30/2021,1.1724
3/31/2021,1.1743
4/1/2021,1.1772
4/2/2021,1.1763
4/5/2021,1.181
4/6/2021,1.1852
4/7/2021,1.189
4/8/2021,1.1904
4/9/2021,1.1897
4/12/2021,1.1907
4/13/2021,1.1939
4/14/2021,1.1974
4/15/2021,1.1964
4/16/2021,1.198
4/19/2021,1.2028
4/20/2021,1.2045
4/21/2021,1.2033
4/22/2021,1.2012
4/23/2021,1.2069
4/26/2021,1.2083
4/27/2021,1.2079
4/28/2021,1.2098
4/29/2021,1.211
4/30/2021,1.203
5/3/2021,1.2059
5/4/2021,1.2014
5/5/2021,1.2003
5/6/2021,1.2049
5/7/2021,1.2165
5/10/2021,1.217
5/11/2021,1.2169
5/12/2021,1.2074
5/13/2021,1.207
5/14/2021,1.2141
5/17/2021,1.2155
5/18/2021,1.2203
5/19/2021,1.2216
5/20/2021,1.2225
5/21/2021,1.2178
5/24/2021,1.221
5/25/2021,1.2233
5/26/2021,1.2204
5/27/2021,1.2194
5/28/2021,1.2194
5/31/2021,1.2194
6/1/2021,1.2241
6/2/2021,1.2213
6/3/2021,1.2122
6/4/2021,1.2173
6/7/2021,1.22
6/8/2021,1.218
6/9/2021,1.2184
6/10/2021,1.2173
6/11/2021,1.2101
6/14/2021,1.2126
6/15/2021,1.212
6/16/2021,1.2119
6/17/2021,1.1911
6/18/2021,1.1872
6/21/2021,1.1909
6/22/2021,1.191
6/23/2021,1.195
6/24/2021,1.1927
6/25/2021,1.194
6/28/2021,1.1938
6/29/2021,1.1905
6/30/2021,1.1848
7/1/2021,1.1857
7/2/2021,1.1848
7/5/2021,1.1848
7/6/2021,1.1816
7/7/2021,1.1803
7/8/2021,1.184
7/9/2021,1.1861
7/12/2021,1.1858
7/13/2021,1.1813
7/14/2021,1.1826
7/15/2021,1.1806
7/16/2021,1.181
7/19/2021,1.1804
7/20/2021,1.1776
7/21/2021,1.1799
7/22/2021,1.1771
7/23/2021,1.1761
7/26/2021,1.181
7/27/2021,1.1831
7/28/2021,1.1809
7/29/2021,1.1886
7/30/2021,1.1864
8/2/2021,1.1873
8/3/2021,1.1859
8/4/2021,1.1841
8/5/2021,1.1838
8/6/2021,1.1761
8/9/2021,1.1749
8/10/2021,1.1722
8/11/2021,1.1737
8/12/2021,1.1736
8/13/2021,1.1796
8/16/2021,1.1776
8/17/2021,1.1714
8/18/2021,1.1702
8/19/2021,1.1693
8/20/2021,1.169
8/23/2021,1.1732
8/24/2021,1.1746
8/25/2021,1.1758
8/26/2021,1.1761
8/27/2021,1.1794
